cd_talhao;dt_hr_local_inicial;cd_equipamento;vl_velocidade;vl_rpm;vl_temperatura_motor;vl_consumo_instantaneo
401;09/11/2021 00:00;121,00;5.48;2183,00;86,00;42.98
401;09/11/2021 00:00;121,00;4.79;2179,00;86,00;43.83
401;09/11/2021 00:00;121,00;2.58;2208,00;85,00;36.18
401;09/11/2021 00:00;121,00;4.61;2213,00;85,00;31.16
401;09/11/2021 00:00;121,00;5.96;2211,00;85,00;34.84
401;09/11/2021 00:00;121,00;5.97;2211,00;85,00;34.32
401;09/11/2021 00:00;121,00;5.89;2191,00;85,00;33.69
401;09/11/2021 00:00;121,00;3.11;2217,00;85,00;32.75
401;09/11/2021 00:00;121,00;4.59;2028,00;88,00;41.03
401;09/11/2021 00:00;121,00;5.22;2023,00;88,00;44.98
401;09/11/2021 00:00;121,00;5.08;2037,00;88,00;45.43
401;09/11/2021 00:00;121,00;5.15;2018,00;88,00;45.12
401;09/11/2021 00:00;121,00;5.07;2044,00;88,00;45.41
401;09/11/2021 00:00;121,00;5.1;1955,00;88,00;45.23
401;09/11/2021 00:00;121,00;3.81;1562,00;88,00;44.58
401;09/11/2021 00:00;121,00;4.57;2006,00;88,00;40.56
401;09/11/2021 00:00;121,00;5.07;2022,00;88,00;45.53
401;09/11/2021 00:00;121,00;4.97;2048,00;88,00;45.63
401;09/11/2021 00:00;121,00;5.19;1959,00;88,00;45.05
401;09/11/2021 00:00;121,00;5.07;2042,00;88,00;45.44
401;09/11/2021 00:00;121,00;5.03;1962,00;87,00;45.86
401;09/11/2021 00:00;121,00;4.94;2000,00;87,00;45.82
401;09/11/2021 00:00;121,00;4.93;2002,00;87,00;45.94
401;09/11/2021 00:00;121,00;5.02;2005,00;88,00;45.74
401;09/11/2021 00:00;121,00;5.03;2000,00;88,00;45.34
401;09/11/2021 00:00;121,00;5.03;2098,00;88,00;45.45
401;09/11/2021 00:00;121,00;5.29;2003,00;87,00;44.38
401;09/11/2021 00:00;121,00;5,00;1999,00;86,00;45.44
401;09/11/2021 00:00;121,00;5,00;2075,00;85,00;45.23
401;09/11/2021 00:00;121,00;5.14;1905,00;84,00;43.88
401;09/11/2021 00:00;121,00;5,00;1953,00;83,00;39.2
401;09/11/2021 00:00;121,00;2.24;2171,00;83,00;40.06
401;09/11/2021 00:00;121,00;3.71;1764,00;83,00;20.2
401;09/11/2021 00:00;121,00;5.35;1851,00;83,00;30.21
401;09/11/2021 00:00;121,00;3.56;2231,00;88,00;38.32
401;09/11/2021 00:00;121,00;4.94;2017,00;88,00;45.23
401;09/11/2021 00:00;121,00;4.86;1989,00;88,00;45.99
401;09/11/2021 00:00;121,00;5.11;2026,00;88,00;45.33
401;09/11/2021 00:00;121,00;4.9;1955,00;88,00;45.93
401;09/11/2021 00:00;121,00;5,00;1958,00;88,00;45.52
401;09/11/2021 00:00;121,00;5.1;2104,00;88,00;44.95
401;09/11/2021 00:00;121,00;5,00;2007,00;88,00;45.49
401;09/11/2021 00:00;121,00;5.01;2020,00;88,00;45.6
401;09/11/2021 00:00;121,00;4.98;1964,00;88,00;45.64
401;09/11/2021 00:00;121,00;5.08;2072,00;88,00;45.51
401;09/11/2021 00:00;121,00;5,00;1943,00;88,00;45.6
401;09/11/2021 00:00;121,00;5.05;1973,00;88,00;45.53
401;09/11/2021 00:00;121,00;5.03;2021,00;88,00;45.52
401;09/11/2021 00:00;121,00;5.02;1951,00;88,00;45.6
401;09/11/2021 00:00;121,00;5.14;2151,00;88,00;44.77
401;09/11/2021 00:00;121,00;5.35;2062,00;88,00;44.01
401;09/11/2021 00:00;121,00;5.13;2071,00;88,00;44.65
401;09/11/2021 00:00;121,00;5.25;2128,00;88,00;43.96
401;09/11/2021 00:00;121,00;5.37;2112,00;88,00;43.53
401;09/11/2021 00:00;121,00;5.3;2147,00;88,00;44.08
401;09/11/2021 00:00;121,00;5.28;2070,00;88,00;43.94
401;09/11/2021 00:00;121,00;5.1;2015,00;88,00;44.87
401;09/11/2021 00:00;121,00;5.01;2090,00;88,00;45.09
401;09/11/2021 00:00;121,00;5.52;2084,00;88,00;42.9
401;09/11/2021 00:00;121,00;5.01;2144,00;88,00;44.52
401;09/11/2021 00:00;121,00;5.33;2048,00;88,00;44.24
401;09/11/2021 00:00;121,00;5.22;2054,00;88,00;44.26
401;09/11/2021 00:00;121,00;5.37;2144,00;88,00;43.47
401;09/11/2021 00:00;121,00;5.14;2069,00;88,00;44.27
401;09/11/2021 00:00;121,00;5.23;2071,00;88,00;43.99
401;09/11/2021 00:00;121,00;5.39;2105,00;88,00;43.78
401;09/11/2021 00:00;121,00;5.24;2026,00;88,00;44.33
401;09/11/2021 00:00;121,00;5.26;2125,00;88,00;43.55
401;09/11/2021 00:00;121,00;5.23;2112,00;88,00;44.2
401;09/11/2021 00:00;121,00;5.12;2052,00;88,00;44.79
401;09/11/2021 00:00;121,00;5.32;2110,00;88,00;43.92
401;09/11/2021 00:00;121,00;5.14;2106,00;88,00;44.74
401;09/11/2021 00:00;121,00;5.37;2070,00;88,00;43.7
401;09/11/2021 00:00;121,00;5.05;2067,00;88,00;45.07
401;09/11/2021 00:00;121,00;5.19;2036,00;88,00;44.35
401;09/11/2021 00:00;121,00;5.09;2054,00;88,00;44.99
401;09/11/2021 00:00;121,00;5.14;2051,00;88,00;45.19
401;09/11/2021 00:00;121,00;5.42;2118,00;88,00;43.39
401;09/11/2021 00:00;121,00;4.92;2059,00;88,00;45.59
401;09/11/2021 00:00;121,00;5.3;2000,00;88,00;44.23
401;09/11/2021 00:00;121,00;5.07;2084,00;88,00;45.18
401;09/11/2021 00:00;121,00;5.2;2063,00;88,00;44.74
401;09/11/2021 00:00;121,00;5.03;2006,00;88,00;45.27
401;09/11/2021 00:00;121,00;5.3;2077,00;88,00;43.88
401;09/11/2021 00:00;121,00;5.05;2088,00;87,00;45.12
401;09/11/2021 00:00;121,00;4.09;2192,00;87,00;44.83
401;09/11/2021 00:00;121,00;4.7;2064,00;87,00;43.27
401;09/11/2021 00:00;121,00;5.16;2021,00;87,00;44.66
401;09/11/2021 00:00;121,00;4.93;2003,00;88,00;45.4
401;09/11/2021 00:00;121,00;5.12;2089,00;88,00;45.06
401;09/11/2021 00:00;121,00;5.19;2006,00;88,00;44.96
401;09/11/2021 00:00;121,00;4.59;1906,00;87,00;43.39
401;09/11/2021 00:00;121,00;5.07;2055,00;86,00;41.64
401;09/11/2021 00:00;121,00;5.12;1992,00;85,00;44.91
401;09/11/2021 00:00;121,00;4.93;1979,00;84,00;41.38
401;09/11/2021 00:00;121,00;2.4;2182,00;84,00;41.16
401;09/11/2021 00:00;121,00;2.59;1162,00;84,00;9.6
401;09/11/2021 00:00;121,00;2.23;2032,00;87,00;37.75
401;09/11/2021 00:00;121,00;5.06;2011,00;87,00;44,00
401;09/11/2021 00:00;121,00;5.22;2131,00;88,00;44.85
401;09/11/2021 00:00;121,00;5.08;1945,00;87,00;45.21
*NAO_DEFINIDO*;09/11/2021 00:00;460,00;6.13;1895,00;101,00;66.46
401;09/11/2021 00:00;460,00;6.13;1895,00;101,00;66.46
401;09/11/2021 00:00;460,00;6.38;1926,00;101,00;68.46
401;09/11/2021 00:00;460,00;6.57;1953,00;101,00;65.52
401;09/11/2021 00:00;460,00;6.18;1909,00;101,00;72.83
401;09/11/2021 00:00;460,00;6.09;1882,00;101,00;73.28
401;09/11/2021 00:00;460,00;6.71;1921,00;101,00;65.5
401;09/11/2021 00:00;460,00;6.6;1906,00;101,00;71.34
401;09/11/2021 00:00;460,00;6.7;1932,00;101,00;67.16
401;09/11/2021 00:00;460,00;6.62;1924,00;101,00;65.78
401;09/11/2021 00:00;460,00;6.51;1898,00;101,00;72.18
401;09/11/2021 00:00;460,00;6.7;1888,00;101,00;68.68
401;09/11/2021 00:00;460,00;6.48;1889,00;101,00;72.79
401;09/11/2021 00:00;460,00;6.66;1937,00;101,00;68.57
401;09/11/2021 00:00;460,00;6.64;1916,00;101,00;68.29
401;09/11/2021 00:00;460,00;6.62;1935,00;101,00;70.28
401;09/11/2021 00:00;460,00;6.64;1959,00;101,00;67.39
401;09/11/2021 00:00;460,00;6.65;1940,00;101,00;69.17
401;09/11/2021 00:00;460,00;6.54;1908,00;101,00;70.28
401;09/11/2021 00:00;460,00;6.68;1917,00;101,00;67.43
401;09/11/2021 00:00;460,00;6.55;1886,00;101,00;69.53
401;09/11/2021 00:00;460,00;6.66;1915,00;102,00;70.92
401;09/11/2021 00:00;460,00;6.79;1936,00;102,00;64.17
401;09/11/2021 00:00;460,00;6.49;1923,00;102,00;72.18
401;09/11/2021 00:00;460,00;6.76;1916,00;102,00;69.67
401;09/11/2021 00:00;460,00;6.7;1921,00;101,00;64.79
401;09/11/2021 00:00;460,00;6.11;1913,00;101,00;75.06
401;09/11/2021 00:00;460,00;6.64;1911,00;100,00;70.5
401;09/11/2021 00:00;460,00;6.43;1896,00;100,00;72.35
401;09/11/2021 00:00;460,00;6.4;1906,00;99,00;71.78
401;09/11/2021 00:00;460,00;6.61;1917,00;99,00;68.82
401;09/11/2021 00:00;460,00;6.6;1932,00;99,00;68.4
401;09/11/2021 00:00;460,00;6.59;1919,00;100,00;70.84
401;09/11/2021 00:00;460,00;6.5;1877,00;100,00;71.48
401;09/11/2021 00:00;460,00;6.58;1904,00;101,00;72.49
401;09/11/2021 00:00;460,00;6.56;1914,00;101,00;72.96
401;09/11/2021 00:00;460,00;6.55;1926,00;101,00;74.04
401;09/11/2021 00:00;460,00;6.68;1932,00;101,00;71.37
401;09/11/2021 00:00;460,00;6.45;1899,00;101,00;74.11
401;09/11/2021 00:00;460,00;6.66;1898,00;101,00;69.61
401;09/11/2021 00:00;460,00;6.65;1929,00;101,00;69.47
401;09/11/2021 00:00;460,00;6.14;1817,00;101,00;74.82
401;09/11/2021 00:00;460,00;6.57;1823,00;101,00;66.42
401;09/11/2021 00:00;460,00;6.22;1904,00;101,00;73.82
401;09/11/2021 00:00;460,00;6.6;1917,00;101,00;69.86
401;09/11/2021 00:00;460,00;6.63;1919,00;101,00;69.55
401;09/11/2021 00:00;460,00;6.46;1912,00;101,00;72.58
401;09/11/2021 00:00;460,00;6.65;1928,00;101,00;67.84
401;09/11/2021 00:00;460,00;6.33;1783,00;101,00;71.72
401;09/11/2021 00:00;460,00;5.71;1933,00;101,00;72.93
401;09/11/2021 00:00;460,00;6.69;1908,00;102,00;67,00
401;09/11/2021 00:00;460,00;6.54;1909,00;102,00;73.59
401;09/11/2021 00:00;460,00;6.47;1934,00;101,00;72.78
401;09/11/2021 00:00;460,00;6.69;1931,00;101,00;67.9
401;09/11/2021 00:00;460,00;6.55;1929,00;101,00;70.8
401;09/11/2021 00:00;460,00;6.56;1945,00;101,00;68.76
401;09/11/2021 00:00;460,00;6.4;1918,00;100,00;73.68
401;09/11/2021 00:00;460,00;6.61;1905,00;100,00;68.47
401;09/11/2021 00:00;460,00;6.26;1903,00;99,00;74.84
401;09/11/2021 00:00;460,00;6.46;1915,00;99,00;72.97
401;09/11/2021 00:00;460,00;6.64;1913,00;100,00;69.6
401;09/11/2021 00:00;460,00;5.95;1806,00;100,00;75.69
401;09/11/2021 00:00;460,00;6.59;1939,00;101,00;71.18
401;09/11/2021 00:00;460,00;6.37;1949,00;101,00;73.71
401;09/11/2021 00:00;460,00;6.4;1911,00;101,00;75.79
